ORIGIN,DESTINATION,FREQUENCY,FLIGHT NO,DEPARTURE,ARRIVAL,VIA,EFFECTIVE FROM,EFFECTIVE TILL,Remarks
DELHI,BENGALURU,Daily,SG 501,06:05 AM,08:55 AM,DIRECT ,30-Mar-2014,25-Oct-2014,
DELHI ,BENGALURU,FIRST AND THIRD SUNDAY OF EVERY MONTH,SG 514,12:05 PM,02:55 PM,DIRECT ,20-Jul-2014,14-Sep-2014,
DELHI ,BENGALURU,FIRST AND THIRD SUNDAY OF EVERY MONTH,SG 514,12:50 PM,03:40 PM,DIRECT ,15-Sep-2014,25-Oct-2014,
DELHI,BENGALURU,Daily,SG 209,04:10 PM,07:00 PM,DIRECT ,19-May-2014,25-Oct-2014,
DELHI,BENGALURU,"Monday, Wednesday, Thursday, Friday, Saturday, Sunday",SG 518,05:15 PM,08:00 PM,DIRECT ,11-Aug-2014,8-Sep-2014,
DELHI,BENGALURU,Daily,SG 509,07:50 PM,10:40 PM,DIRECT ,30-Mar-2014,25-Oct-2014,
DELHI,BENGALURU ,Daily,SG 448,09:45 PM,12:15 AM,DIRECT ,15-Sep-2014,25-Oct-2014,
DELHI,CHENNAI,Daily,SG 301,06:35 AM,09:25 AM,DIRECT ,30-Mar-2014,25-Oct-2014,
DELHI,CHENNAI,Daily,SG 305,07:45 AM,10:25 AM,DIRECT ,1-May-2014,19-Jul-2014,
DELHI,CHENNAI,Daily,SG 305,08:30 AM,11:20 AM,DIRECT ,20-Jul-2014,25-Oct-2014,
DELHI,CHENNAI,Daily,SG 315,05:05 PM,07:55 PM,DIRECT ,30-Mar-2014,25-Oct-2014,
DELHI,CHENNAI ,"Wednesday, Friday, Sunday",SG 219,05:55 PM,10:20 PM,PUNE,16-Apr-2014,25-Oct-2014,
DELHI,CHENNAI,Daily,SG 309,07:15 PM,10:05 PM,DIRECT ,30-Mar-2014,25-Oct-2014,
