ORIGIN,DESTINATION,FREQUENCY,FLIGHT NO,DEPARTURE,ARRIVAL,VIA,EFFECTIVE FROM,EFFECTIVE TILL,Remarks
DELHI,BENGALURU,Daily,SG 501,6:05 AM,8:55 AM,Direct,26-Oct-14,28-Mar-15,
DELHI,BENGALURU,Daily,SG 209,4:15 PM,7:00 PM,Direct,26-Oct-14,28-Mar-15,
DELHI,BENGALURU,Daily,SG 223,7:35 PM,10:15 PM,Direct,26-Oct-14,28-Mar-15,
DELHI,BENGALURU,Daily,SG 448,9:45 PM,12:15 AM,Direct,26-Oct-14,28-Mar-15,
DELHI ,BENGALURU,FIRST AND THIRD Sunday OF EVERY MONTH,SG 514,12:55 PM,3:35 PM,Direct,26-Oct-14,28-Mar-15,
DELHI,CHENNAI,Daily,SG 301,6:35 AM,9:25 AM,Direct,26-Oct-14,28-Mar-15,
DELHI,CHENNAI,Daily,SG 305,8:30 AM,11:20 AM,Direct,26-Oct-14,28-Mar-15,
DELHI,CHENNAI,Daily,SG 315,5:05 PM,7:55 PM,Direct,26-Oct-14,28-Mar-15,
DELHI,CHENNAI,"Wednesday, Friday, Sunday",SG 219,6:05 PM,10:20 PM,PUNE,26-Oct-14,28-Mar-15,
DELHI,CHENNAI,Daily,SG 309,7:15 PM,9:55 PM,Direct,26-Oct-14,28-Mar-15,
DELHI,HYDERABAD,Daily,SG 235,6:05 AM,8:25 AM,Direct,26-Oct-14,28-Mar-15,
DELHI,HYDERABAD,Daily,SG 232,1:45 PM,3:55 PM,Direct,26-Oct-14,28-Mar-15,
DELHI,HYDERABAD,Daily,SG 229,6:10 PM,8:05 PM,Direct,26-Oct-14,28-Mar-15,
DELHI,HYDERABAD,Daily,SG 239,9:40 PM,11:40 PM,Direct,26-Oct-14,28-Mar-15,
DELHI,KOLKATA,Daily,SG 104,6:45 AM,9:00 AM,Direct,26-Oct-14,28-Mar-15,
DELHI,KOLKATA,Daily,SG 613,5:25 PM,7:30 PM,Direct,26-Oct-14,28-Mar-15,
DELHI,KOLKATA,Daily,SG 622,8:40 PM,11:00 PM,Direct,26-Oct-14,28-Mar-15,
MUMBAI,BENGALURU,Daily,SG 528,8:20 AM,10:05 AM,Direct,26-Oct-14,28-Mar-15,
MUMBAI,BENGALURU,Daily,SG 524,3:45 PM,5:20 PM,Direct,26-Oct-14,28-Mar-15,
MUMBAI,BENGALURU,Daily,SG 341,5:15 PM,6:55 PM,Direct,26-Oct-14,28-Mar-15,
MUMBAI,BENGALURU,Daily,SG 443,7:05 PM,8:45 PM,Direct,26-Oct-14,28-Mar-15,
MUMBAI,CHENNAI,Daily,SG 291,6:05 AM,8:00 AM,Direct,26-Oct-14,28-Mar-15,
MUMBAI,CHENNAI,Daily,SG 318,4:40 PM,6:40 PM,Direct,26-Oct-14,28-Mar-15,
MUMBAI,CHENNAI,Daily,SG 206,8:20 PM,10:30 PM,Direct,26-Oct-14,28-Mar-15,
MUMBAI,HYDERABAD,Daily,SG 401,5:20 AM,6:40 AM,Direct,26-Oct-14,28-Mar-15,
MUMBAI,HYDERABAD,Daily,SG 407,7:50 PM,9:10 PM,Direct,26-Oct-14,28-Mar-15,
MUMBAI,KOLKATA,Daily,SG 895,7:55 AM,10:30 AM,Direct,26-Oct-14,28-Mar-15,
MUMBAI,KOLKATA,Daily,SG 528,8:20 AM,1:05 PM,BENGALURU,26-Oct-14,28-Mar-15,
MUMBAI,KOLKATA,Daily,SG 817,10:15 AM,12:45 PM,Direct,26-Oct-14,28-Mar-15,
MUMBAI,KOLKATA,Daily,SG 524,3:45 PM,8:25 PM,BENGALURU,26-Oct-14,28-Mar-15,
MUMBAI,KOLKATA,Daily,SG 804,7:45 PM,10:20 PM,Direct,26-Oct-14,28-Mar-15,
PUNE,BENGALURU,Daily,SG 227,7:00 AM,8:30 AM,Direct,26-Oct-14,28-Mar-15,
PUNE,BENGALURU,"Monday, Tuesday,Wednesday, Thursday, Friday, Sunday",SG 345,4:45 PM,6:15 PM,Direct,26-Oct-14,28-Mar-15,
PUNE,CHENNAI,"Wednesday, Friday, Sunday",SG 219,8:40 PM,10:20 PM,Direct,26-Oct-14,28-Mar-15,
PUNE,CHENNAI,"Monday,Tuesday, Thursday,Saturday",SG 359,9:25 PM,10:55 PM,Direct,26-Oct-14,28-Mar-15,
PUNE,HYDERABAD,"Monday, Tuesday,Wednesday, Thursday, Friday, Sunday",SG 3016,4:00 PM,5:10 PM,Direct,26-Oct-14,28-Mar-15,
